Site,Order,Family,Genera,Taxa,Time_Period,Period_Biomass,Mean_Annual_Biomass,PB,Production,Community_PB
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 6,1.46,5.16,5,25.82,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 1,2.31,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 2,16.57,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 3,21.61,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 4,0.24,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 5,58.34,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Chironominae,Period 6,9.49,23.75,15.29,363.03,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 1,19.93,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 2,29.97,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 3,6.31,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 4,45.66,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 5,9.73,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Orthocladinae,Period 6,9.53,21.41,13.08,280.09,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 1,39.53,2.35,5,11.73,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 2,2.26,2.35,5,11.73,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 3,1.37,2.35,5,11.73,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 4,0.28,2.35,5,11.73,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 5,0.22,2.35,5,11.73,5.19
Antelope Creek,Diptera,Chironomidae,,Tanypodinae,Period 6,0,2.35,5,11.73,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 1,0,0.02,5,0.08,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 2,0.1,0.02,5,0.08,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 3,0,0.02,5,0.08,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 4,0,0.02,5,0.08,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 5,0,0.02,5,0.08,5.19
Antelope Creek,Diptera,Dixidae,Meringodixa ,Meringodixa ,Period 6,0,0.02,5,0.08,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 1,2.97,1.57,5,7.84,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 2,0,1.57,5,7.84,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 3,0,1.57,5,7.84,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 4,8.67,1.57,5,7.84,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 5,0,1.57,5,7.84,5.19
Antelope Creek,Diptera,Empididae,Chelifera ,Chelifera ,Period 6,0,1.57,5,7.84,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 1,0,0.23,5,1.15,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 2,0,0.23,5,1.15,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 3,0,0.23,5,1.15,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 4,1.38,0.23,5,1.15,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 5,0,0.23,5,1.15,5.19
Antelope Creek,Diptera,Pelecorhynchidae,Glutops,Glutops,Period 6,0,0.23,5,1.15,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 1,6.22,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 2,0,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 3,2.72,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 4,83.74,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 5,48.04,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Psychodidae,Pericoma ,Pericoma ,Period 6,14.17,32.43,2.89,93.78,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 1,0,62.53,5,312.66,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 2,9.44,62.53,5,312.66,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 3,123.69,62.53,5,312.66,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 4,0,62.53,5,312.66,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 5,175.6,62.53,5,312.66,5.19
Antelope Creek,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera,Period 6,2.64,62.53,5,312.66,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 1,26.46,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 2,9.14,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 3,0,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 4,2.05,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 5,0,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Prosimulium ,Prosimulium ,Period 6,0.13,3.03,5,15.15,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 1,112.98,11.02,5,55.11,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 2,30.95,11.02,5,55.11,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 3,0.1,11.02,5,55.11,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 4,1.67,11.02,5,55.11,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 5,0,11.02,5,55.11,5.19
Antelope Creek,Diptera,Simuliidae,Simulium  ,Simulium  ,Period 6,0.51,11.02,5,55.11,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 1,0,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 2,3.91,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 3,0.33,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 4,4.84,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 5,64.13,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Dicranota ,Dicranota ,Period 6,2.15,16.84,5,84.21,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 1,20.01,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 2,1.69,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 3,0,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 4,8.09,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 5,0,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Limnophila ,Limnophila ,Period 6,0,2.46,5,12.32,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 1,0,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 2,0,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 3,0,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 4,51.89,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 5,0,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pedicia,Pedicia,Period 6,0,8.65,5,43.24,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 1,0,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 2,0,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 3,0,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 4,0,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 5,1.31,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Pilaria/Ulomorpha,Pilaria/Ulomorpha,Period 6,0,0.29,5,1.46,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 1,0,13.9,5,69.5,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 2,0,13.9,5,69.5,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 3,0,13.9,5,69.5,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 4,25.08,13.9,5,69.5,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 5,43.74,13.9,5,69.5,5.19
Antelope Creek,Diptera,Tipulidae,Tipula /Holorusia,Tipula/Holorusia,Period 6,0,13.9,5,69.5,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 1,270.34,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 2,61.06,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 3,1.36,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 4,73.65,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 5,11.72,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Ameletidae,Ameletus ,Ameletus ,Period 6,0.33,36.71,16.4,602.18,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 1,335.78,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 2,71.37,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 3,18.35,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 4,59.33,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 5,9.56,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Baetidae,,Baetidae,Period 6,7.28,44.6,17.29,771.23,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 1,0,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 2,0,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 3,1.18,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 4,12.45,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 5,0,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella,Period 6,0,2.27,5,11.36,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 1,3.14,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 2,9.32,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 3,1.84,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 4,0,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 5,0,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella,Drunella,Period 6,0,1.99,5,9.96,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 1,35.05,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 2,0,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 3,0,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 4,0,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 5,0,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella coloradensis/flavilinae group,Period 6,0,1.46,5,7.3,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 1,10.98,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 2,10.3,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 3,0,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 4,0,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 5,0,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella doddsi,Period 6,0,2.17,5,10.87,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 1,0,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 2,6.16,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 3,0,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 4,1.78,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 5,0,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella grandis,Period 6,0,1.32,5,6.62,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 1,36.45,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 2,0,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 3,5.6,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 4,42.44,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 5,2.54,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Drunella ,Drunella spinifera,Period 6,0,10.09,5,50.46,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 1,68.17,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 2,0,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 3,7.52,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 4,0,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 5,0,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella,Period 6,0,4.09,5,20.47,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella aurivillii,Period 1,242.94,10.12,5,50.61,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella aurivillii,Period 2,0,10.12,5,50.61,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella aurivillii,Period 3,0,10.12,5,50.61,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella aurivillii,Period 4,0,10.12,5,50.61,5.19
Antelope Creek,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella aurivillii,Period 5,0,10.12,5,50.61,5.19
